,CODDEPTO,DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,54,NORTE DE SANTANDER,5098.198135479671,5987.274145737565,6756.326097413515,7712.421029147879,8301.865539847353,8697.738486731112,9408.132258500475,9896.699612191202,10747.05322544526,11642.742330881032,12534.024866470347,13810.526031951034,14445.495559430157,15442.66754244835,16288.625466563772,15736.921580258791,18597.579857519104,23056.874233115126
23,86,PUTUMAYO,1115.7878486737345,1330.8770662367576,1565.850666810024,2025.110687839817,2292.4247999416543,2885.9047805638666,3637.4020772778094,3735.7983903592026,4497.281746945102,4485.3471781665985,3481.4379057421474,3297.989179137947,3613.0163260969407,4033.3848255987273,4048.8771683667387,3328.5952239343433,4253.112796536771,5616.558268502917
24,63,QUINDÍO,2749.6112972891633,3255.1327076140856,3549.387345125761,3834.1865786334893,4018.1755604837963,4280.828447407906,4767.023399710755,5242.262342793133,5460.354340073177,5720.352538326582,6380.692344865627,7133.132377739345,7633.45202491977,7950.511940845779,8532.6562693147,8240.793125485166,9837.149297431422,11941.64415685175
25,66,RISARALDA,5511.516318530591,6342.31917082062,6851.839733539376,7438.184244398238,7969.274210456741,8420.282877153857,8979.657554120235,9629.11830885337,10612.879412937771,11727.873606362667,12655.73442082919,13890.500660602378,14922.396078169428,15876.729648894343,17078.041375727913,16416.178718283005,19530.73739428455,23786.362420303125
26,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA (ARCHIPIÉLAGO)",489.2860785286883,560.686346262909,655.2183844730968,688.5840629071868,753.1823092131799,785.3117612846373,857.3991693117242,933.9537673131764,1046.3722227870887,1144.491480431638,1253.0433402763442,1340.5336857358213,1438.5652601254476,1531.1140622086186,1639.4620540130093,1343.8721404583328,1711.2276195280713,2125.4103328927704
27,68,SANTANDER,18732.738209111307,21572.05219981113,24619.739094337056,28389.110596492137,28494.32379089781,32726.18072306035,37783.839003809946,40282.52648478359,43409.315436218036,50858.40912311322,51999.22965436837,55182.20197913644,59462.532179605296,63776.07829165889,69123.52536650244,61711.015847062634,74736.84715095944,92276.67815750134
28,70,SUCRE,2386.3437895385773,2758.28937677892,3161.0812370858002,3485.8484008797964,3878.94226442949,4011.2231162617363,4472.58944977276,4994.469289695406,5480.308141218194,6088.779641525371,6577.321279881526,7186.33762119666,7702.08730372015,8122.917706159184,8696.662719700864,8444.790988285613,9841.758619945114,11516.270759630142
29,73,TOLIMA,7701.879452327135,8762.612870053543,10046.53671676625,11345.134775431736,11432.051267468467,11964.982485524186,13517.517617762327,14387.03047853898,15274.905241838225,16560.261699278773,17380.832886711047,18863.07779823518,19988.03035008489,21002.251550227564,22526.051955292904,21335.846808541057,25143.207905934087,30438.18014612176
30,76,VALLE DEL CAUCA,34638.57157030165,39675.02128165634,45059.05479285934,48319.492287334004,51607.00589815443,54213.03125296259,58464.86633568951,62545.18962810775,66718.92039653524,72278.80993053308,78074.26193077292,85102.00876612526,89765.7909621959,95893.69296763356,103173.46341021024,99877.65196279058,116238.11311218905,139863.15352518883
31,97,VAUPÉS,79.77128750081307,85.35399426130603,103.66719360560677,112.49334396031966,123.47162409854303,129.99350403576764,149.20478202363998,164.07834850537233,190.12726364908463,217.64220896081267,233.44163394143024,250.55171409756724,263.0854684282232,281.40440553071204,303.0820969050401,293.0753623709508,336.5895018095016,381.8516785486295
32,99,VICHADA,301.8266854168578,329.03590455129245,336.7928235579536,367.15731315821887,381.9105088719592,382.7465682206486,401.0329865092873,435.40854554961766,466.53812183639224,464.9964694337357,529.2264341276009,573.5271068426745,596.5020199581144,634.8932988134707,688.0966946923875,684.796536602116,798.9617236774062,956.5766785415677
