,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
26,86,PUTUMAYO,86569,PUERTO CAICEDO,0.0,0.0,0.0,0.0,0.0,34.0,138.2,0.0,6729.39,0.0,1704.28,443.54,521.28,1378.94,910.4,486.27,779.68,2143.78,1040.62,1970.7,942.66,888.55
27,86,PUTUMAYO,86571,PUERTO GUZMÁN,0.0,0.0,0.0,574.2,3949.1,4589.39,7774.17,40.0,2192.27,319.2,4032.29,4549.44,1717.22,4233.96,2372.65,1394.2,3922.41,2189.66,2000.81,1470.62,919.62,351.1
28,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,0.0,0.0,0.0,0.0,0.0,117.4,2440.7,1178.8,44.17,0.0,0.0,36.45,304.36,508.48,136.64,113.01,1211.73,803.93,168.55,396.69,226.69,254.11
29,86,PUTUMAYO,86885,VILLAGARZÓN,0.0,0.0,0.0,0.0,0.0,239.4,250.4,0.0,4362.84,97.39,1087.19,118.49,724.01,367.38,1565.31,255.25,931.16,282.16,360.06,977.37,325.52,422.33
30,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1704.0,8539.0,2081.79,9715.2,6202.08,2423.9,2654.5,2129.2,5216.8,6442.38,10840.3,6375.46,8946.36,4731.92,7483.03,5634.13,8017.51,3347.4,2766.32,2124.5,2393.66,812.02
31,95,GUAVIARE,95015,CALAMAR,77.0,807.0,879.45,2974.1,1019.59,2426.76,1534.5,478.4,735.0,9745.34,4290.61,1150.35,1746.02,1924.94,1273.72,1849.47,2653.24,1538.11,1528.9,698.82,1567.67,301.91
32,95,GUAVIARE,95025,EL RETORNO,1099.0,11692.0,4423.64,8976.9,3684.01,6128.16,1504.0,1247.8,1254.9,7609.32,7321.83,2334.16,3304.59,4070.99,2070.41,1706.73,2422.9,1593.56,1876.78,1172.29,1170.15,519.45
33,95,GUAVIARE,95200,MIRAFLORES,262.0,356.0,7040.35,8525.6,26174.91,6396.85,2548.2,3621.9,0.0,13696.47,8500.31,2004.99,717.49,222.28,2234.07,3393.21,4538.94,2438.18,4916.29,2800.5,3346.55,1816.67
34,97,VAUPÉS,97161,CARURÚ,0.0,0.0,0.0,0.0,348.8,0.0,0.0,0.0,0.0,0.0,755.66,340.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,99,VICHADA,99524,LA PRIMAVERA,0.0,0.0,0.0,0.0,296.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.1,171.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,99,VICHADA,99773,CUMARIBO,0.0,50.0,85.0,0.0,0.0,90.9,0.0,2819.5,0.0,0.0,1445.64,0.0,5267.93,7021.55,5900.9,1699.11,1425.5,1014.09,51.07,0.0,0.0,103.06
37,05,ANTIOQUIA,05001,MEDELLÍN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
