,MUNICIPIO,DEPARTAMENTO,POBLACIÓN DANE,CATEGORÍA
1084,CUBARRAL,DEPARTAMENTO DEL META,7592,6
1085,CUMARAL,DEPARTAMENTO DEL META,24451,6
1086,EL CASTILLO,DEPARTAMENTO DEL META,8417,6
1087,EL DORADO,DEPARTAMENTO DEL META,4199,6
1088,GRANADA,DEPARTAMENTO DEL META,73890,5
1089,LA MACARENA,DEPARTAMENTO DEL META,28525,6
1090,LA URIBE,DEPARTAMENTO DEL META,9822,6
1091,MAPIRIPAN,DEPARTAMENTO DEL META,7353,6
1092,MESETAS,DEPARTAMENTO DEL META,11943,6
1093,PUERTO CONCORDIA    ,DEPARTAMENTO DEL META,8907,6
1094,PUERTO RICO,DEPARTAMENTO DEL META,13471,6
1095,RESTREPO,DEPARTAMENTO DEL META,19583,6
1096,SAN CARLOS GUAROA,DEPARTAMENTO DEL META,13238,6
1097,SAN JUAN DE ARAMA,DEPARTAMENTO DEL META,9700,6
1098,SAN JUANITO,DEPARTAMENTO DEL META,1373,6
1099,SAN MARTIN,DEPARTAMENTO DEL META,28956,6
1100,VILLAVICENCIO,DEPARTAMENTO DEL META,569806,1
1101,BOGOTA D.C.,DISTRITO CAPITAL,7873316,ESP
