,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
285,2019,70,SUCRE,203411,95.93,95.88,108.96,3.0,87.91,9.09,1.17
286,2019,73,TOLIMA,251347,99.2,99.1,110.63,3.7,89.84,6.45,0.75
287,2019,76,VALLE DEL CAUCA,854243,81.68,81.46,92.62,3.92,88.84,7.25,1.17
288,2019,81,ARAUCA,64095,93.09,93.06,106.49,4.02,95.31,0.67,3.82
289,2019,85,CASANARE,93431,93.46,93.43,104.68,3.01,90.13,6.86,1.9
290,2019,86,PUTUMAYO,80890,84.83,84.83,96.73,5.39,85.7,8.91,1.89
291,2019,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11002,91.92,91.87,98.59,2.08,88.64,9.28,3.86
292,2019,91,AMAZONAS,22435,81.4,81.4,95.56,4.17,88.23,7.6,7.07
293,2019,94,GUAINÍA,15808,66.26,66.26,80.77,5.7,78.65,15.65,7.31
294,2019,95,GUAVIARE,21301,83.11,83.09,100.82,4.47,88.03,7.5,1.64
295,2019,97,VAUPÉS,15675,52.33,52.33,61.04,3.04,90.08,6.88,3.71
296,2019,99,VICHADA,33198,55.51,55.51,62.42,7.63,74.92,17.44,7.82
297,2020,05,ANTIOQUIA,1151149,93.59,93.43,106.19,2.3,89.97,7.73,6.48
298,2020,08,ATLÁNTICO,542750,92.75,92.38,100.38,1.41,94.04,4.55,4.27
299,2020,11,"BOGOTÁ, D.C.",1181597,96.41,95.89,104.74,0.46,94.4,5.14,3.75
300,2020,13,BOLÍVAR,466941,98.91,98.8,110.4,2.03,94.06,3.91,5.92
301,2020,15,BOYACÁ,234540,94.91,94.84,103.67,1.7,90.55,7.75,5.42
302,2020,17,CALDAS,161746,84.65,84.57,96.32,2.35,92.89,4.76,6.48
303,2020,18,CAQUETÁ,98602,88.94,88.91,101.54,6.28,83.74,9.98,4.19
304,2020,19,CAUCA,296813,85.0,84.97,95.43,1.59,91.93,6.48,5.87
305,2020,20,CESAR,302403,89.88,89.73,99.16,8.58,82.4,9.02,5.24
306,2020,23,CÓRDOBA,388446,93.27,93.21,103.59,2.54,92.27,5.2,5.84
307,2020,25,CUNDINAMARCA,592264,93.68,93.42,103.27,2.78,90.58,6.63,5.29
308,2020,27,CHOCÓ,143711,83.98,83.97,94.63,2.04,91.72,6.24,7.78
309,2020,41,HUILA,242199,93.46,93.38,103.51,2.49,89.63,7.88,6.85
310,2020,44,LA GUAJIRA,252101,94.28,94.2,104.74,2.08,89.11,8.81,5.87
311,2020,47,MAGDALENA,327562,96.03,95.83,110.91,3.87,90.81,5.32,3.8
312,2020,50,META,217673,93.91,93.83,105.44,2.47,87.06,10.47,4.32
313,2020,52,NARIÑO,305761,84.15,84.1,97.39,1.75,89.34,8.91,4.68
314,2020,54,NORTE DE SANTANDER,325981,90.24,90.16,98.32,3.94,88.82,7.24,5.51
315,2020,63,QUINDIO,83129,95.97,95.93,107.41,3.07,90.1,6.83,6.06
316,2020,66,RISARALDA,155149,98.9,98.64,113.87,2.89,88.68,8.43,5.41
317,2020,68,SANTANDER,408876,95.97,95.83,105.54,1.85,91.04,7.1,6.26
318,2020,70,SUCRE,204837,95.22,95.17,107.93,2.0,92.43,5.57,7.51
319,2020,73,TOLIMA,247605,99.37,99.27,110.54,3.29,90.22,6.48,5.13
320,2020,76,VALLE DEL CAUCA,846957,82.18,81.96,92.14,2.73,90.41,6.86,5.72
321,2020,81,ARAUCA,66580,92.84,92.81,105.96,3.93,85.52,10.55,3.9
322,2020,85,CASANARE,93855,94.38,94.35,104.95,2.11,90.95,6.94,5.43
323,2020,86,PUTUMAYO,80810,84.42,84.41,95.21,7.42,86.8,5.78,6.81
324,2020,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11169,92.77,92.67,99.15,1.41,91.77,6.82,8.67
325,2020,91,AMAZONAS,22563,81.26,81.24,94.99,2.37,88.72,8.91,10.0
326,2020,94,GUAINÍA,15771,70.52,70.51,83.91,3.53,81.46,15.01,10.5
327,2020,95,GUAVIARE,21482,83.07,83.06,100.72,4.41,86.67,8.92,6.04
328,2020,97,VAUPÉS,15910,53.47,53.47,62.8,2.54,81.18,16.28,7.15
329,2020,99,VICHADA,33298,60.15,60.14,66.64,3.07,84.08,12.85,14.44
330,2021,05,ANTIOQUIA,1149861,92.62,92.45,104.69,4.81,87.52,7.66,5.84
331,2021,08,ATLÁNTICO,546055,93.93,93.55,101.96,1.67,90.56,7.78,3.82
332,2021,11,"BOGOTÁ, D,C,",1174274,94.28,93.8,102.57,1.29,88.15,10.56,3.29
333,2021,13,BOLÍVAR,469046,99.39,99.3,111.33,3.69,88.65,7.66,4.1
334,2021,15,BOYACÁ,234348,95.55,95.48,104.85,2.97,88.05,8.98,5.91
335,2021,17,CALDAS,161737,84.34,84.25,95.87,3.1,90.2,6.7,4.46
336,2021,18,CAQUETÁ,98412,86.73,86.7,97.51,8.5,82.82,8.68,7.59
337,2021,19,CAUCA,294933,86.33,86.28,97.67,3.03,88.33,8.64,5.98
338,2021,20,CESAR,305550,89.21,89.04,98.8,2.43,89.09,8.49,6.28
339,2021,23,CÓRDOBA,388712,93.04,92.95,103.67,2.95,89.41,7.63,4.81
340,2021,25,CUNDINAMARCA,610367,90.84,90.58,100.06,4.06,89.34,6.59,5.2
341,2021,27,CHOCÓ,143120,87.22,87.17,100.43,4.02,86.05,9.92,5.89
342,2021,41,HUILA,242129,93.8,93.73,104.13,6.18,83.98,9.84,5.23
343,2021,44,LA GUAJIRA,255513,99.46,99.35,111.61,2.06,89.12,8.82,6.09
344,2021,47,MAGDALENA,328343,97.15,96.9,112.69,2.07,94.46,3.47,3.09
345,2021,50,META,216914,94.37,94.28,105.94,4.4,86.0,9.6,6.19
346,2021,52,NARIÑO,302506,83.5,83.43,96.69,2.23,91.83,5.94,6.66
347,2021,54,NORTE DE SANTANDER,328034,92.06,92.0,101.77,4.1,87.57,8.33,3.9
348,2021,63,QUINDIO,83299,94.72,94.64,105.15,6.2,87.1,6.7,4.44
349,2021,66,RISARALDA,154342,99.33,99.07,114.87,4.65,87.78,7.57,4.33
350,2021,68,SANTANDER,409198,96.05,95.89,106.58,4.0,87.49,8.51,4.47
351,2021,70,SUCRE,205082,95.5,95.46,108.54,2.51,89.82,7.67,3.97
352,2021,73,TOLIMA,244021,101.21,101.13,112.46,5.03,87.43,7.54,4.2
353,2021,76,VALLE DEL CAUCA,839566,81.86,81.67,92.14,4.53,87.16,8.31,4.76
354,2021,81,ARAUCA,67759,93.94,93.88,107.8,3.31,93.54,3.15,6.67
355,2021,85,CASANARE,93896,94.67,94.63,105.84,4.61,86.47,8.92,6.26
356,2021,86,PUTUMAYO,80699,84.59,84.57,96.22,10.28,82.3,7.42,4.87
357,2021,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11312,90.88,90.82,96.69,0.71,91.03,8.26,4.15
358,2021,91,AMAZONAS,22670,82.03,81.96,95.93,5.04,86.04,8.92,14.76
359,2021,94,GUAINÍA,15643,78.05,77.96,92.44,8.67,72.0,19.32,10.23
360,2021,95,GUAVIARE,21658,84.91,84.79,100.64,7.29,82.84,9.88,7.8
361,2021,97,VAUPÉS,16081,54.73,54.72,66.82,4.18,90.14,5.67,3.6
362,2021,99,VICHADA,33183,65.44,65.43,73.0,5.02,77.56,17.42,11.13
363,2022,05,ANTIOQUIA,1134099,93.5,93.32,104.84,4.73,87.1,8.17,6.49
364,2022,08,ATLÁNTICO,544473,94.4,94.01,103.12,2.64,91.06,6.3,5.91
365,2022,11,"BOGOTÁ, D.C.",1150474,93.89,93.37,101.87,3.46,90.55,5.99,5.72
366,2022,13,BOLÍVAR,464305,100.32,100.19,113.09,4.01,88.82,7.17,6.85
367,2022,15,BOYACÁ,234191,93.95,93.87,102.84,2.9,89.9,7.2,7.61
368,2022,17,CALDAS,159847,83.32,83.21,93.5,3.81,88.6,7.59,6.0
369,2022,18,CAQUETÁ,97946,83.5,83.48,94.41,6.37,87.49,6.14,7.49
370,2022,19,CAUCA,295168,85.77,85.73,97.26,3.96,88.95,7.09,7.45
371,2022,20,CESAR,308443,87.94,87.77,97.42,6.02,86.62,7.37,7.44
372,2022,23,CÓRDOBA,390847,90.75,90.66,101.54,4.09,87.39,8.53,7.52
373,2022,25,CUNDINAMARCA,583695,96.46,96.16,105.12,3.86,90.02,6.12,6.81
374,2022,27,CHOCÓ,147806,84.5,84.5,102.06,3.67,87.88,8.45,9.05
375,2022,41,HUILA,247652,91.87,91.77,101.3,5.13,86.3,8.56,6.96
376,2022,44,LA GUAJIRA,262402,99.33,99.25,110.67,3.65,86.54,9.81,9.77
377,2022,47,MAGDALENA,327302,96.16,95.92,118.49,4.9,91.07,4.03,5.02
378,2022,50,META,221130,93.24,93.17,105.25,5.18,87.45,7.37,7.47
379,2022,52,NARIÑO,307217,80.63,80.58,92.87,2.85,92.01,5.14,8.07
380,2022,54,NORTE DE SANTANDER,328869,91.88,91.81,101.86,4.49,87.56,7.95,6.03
381,2022,63,QUINDIO,81903,95.29,95.24,105.21,5.97,86.73,7.3,4.86
382,2022,66,RISARALDA,155669,97.79,97.52,111.61,6.42,86.95,6.63,5.7
383,2022,68,SANTANDER,405521,96.67,96.49,107.07,4.93,87.49,7.58,6.43
384,2022,70,SUCRE,203779,94.48,94.41,107.24,3.9,87.51,8.6,6.12
385,2022,73,TOLIMA,242793,100.35,100.26,111.39,4.71,88.39,6.9,6.21
386,2022,76,VALLE DEL CAUCA,848047,79.71,79.5,89.32,5.51,86.48,8.01,6.33
387,2022,81,ARAUCA,66682,92.7,92.67,105.14,6.98,88.53,4.49,6.81
388,2022,85,CASANARE,95609,93.41,93.37,102.68,3.98,88.53,7.49,7.03
389,2022,86,PUTUMAYO,81190,81.83,81.81,91.02,6.54,86.37,7.09,5.76
390,2022,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",10796,97.05,96.89,102.8,3.22,84.51,12.27,7.98
391,2022,91,AMAZONAS,23239,77.25,77.24,90.58,6.11,88.45,5.44,10.42
392,2022,94,GUAINÍA,16612,67.6,67.6,77.76,7.08,79.21,13.71,13.02
393,2022,95,GUAVIARE,22538,80.14,80.13,95.71,3.67,87.41,8.92,8.39
394,2022,97,VAUPÉS,15585,55.51,55.51,66.01,4.72,92.54,2.74,9.26
395,2022,99,VICHADA,33949,66.99,66.98,74.03,6.58,76.29,17.14,14.24
