,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
66,2013,05,ANTIOQUIA,1272458,92.06,91.93,105.69,3.57,91.59,4.84,1.57
67,2013,08,ATLÁNTICO,522832,86.41,86.22,95.58,3.12,95.77,1.11,1.66
68,2013,11,"BOGOTÁ, D.C.",1466854,84.5,84.07,91.42,3.68,96.32,0.0,6.89
69,2013,13,BOLÍVAR,492500,89.66,89.55,103.72,2.56,94.23,3.2,1.91
70,2013,15,BOYACÁ,292312,85.1,85.05,96.3,2.45,93.41,4.14,1.69
71,2013,17,CALDAS,196982,82.58,82.54,94.92,4.1,88.64,7.25,1.87
72,2013,18,CAQUETÁ,124458,80.95,80.94,95.55,6.55,92.48,0.96,1.32
73,2013,19,CAUCA,320510,84.34,84.33,104.67,3.74,91.69,4.57,1.28
74,2013,20,CESAR,262240,94.92,94.8,109.98,4.53,89.87,5.6,1.07
75,2013,23,CÓRDOBA,407589,93.39,93.35,110.67,2.3,96.13,1.57,2.69
76,2013,25,CUNDINAMARCA,572012,90.49,90.28,100.66,3.17,95.7,1.12,1.9
77,2013,27,CHOCÓ,145133,79.59,79.59,96.73,4.59,88.85,6.56,0.15
78,2013,41,HUILA,272091,89.73,89.68,101.65,4.78,92.18,3.04,1.03
79,2013,44,LA GUAJIRA,244513,74.8,74.73,87.85,5.27,94.12,0.61,2.35
80,2013,47,MAGDALENA,332266,96.03,95.83,117.11,3.19,95.32,1.49,1.32
81,2013,50,META,213170,94.83,94.76,106.43,4.49,93.87,1.63,1.15
82,2013,52,NARIÑO,399032,76.6,76.58,93.62,2.9,95.83,1.26,1.85
83,2013,54,NORTE DE SANTANDER,317334,86.42,86.37,100.76,3.66,95.29,1.05,1.72
84,2013,63,QUINDIO,111539,85.89,85.87,100.48,5.3,89.7,4.99,1.21
85,2013,66,RISARALDA,187946,89.97,89.81,106.4,5.17,89.77,5.06,0.94
86,2013,68,SANTANDER,419596,93.4,93.28,106.44,3.6,92.98,3.41,2.04
87,2013,70,SUCRE,202453,96.68,96.64,117.32,3.83,86.68,9.49,0.7
88,2013,73,TOLIMA,317546,87.02,86.95,100.2,4.01,88.65,7.34,0.5
89,2013,76,VALLE DEL CAUCA,887988,87.56,87.37,101.44,3.04,93.57,3.39,1.3
90,2013,81,ARAUCA,74658,70.71,70.7,81.63,4.17,95.83,0.01,2.42
91,2013,85,CASANARE,86460,103.73,103.69,117.81,3.67,90.86,5.47,1.34
92,2013,86,PUTUMAYO,92887,76.96,76.96,89.83,5.68,88.53,5.79,0.98
93,2013,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15536,67.93,67.89,74.43,0.91,99.08,0.01,4.73
94,2013,91,AMAZONAS,22123,81.84,81.83,95.41,3.29,95.78,0.93,4.32
95,2013,94,GUAINÍA,11918,72.57,72.56,114.03,4.93,79.71,15.36,3.59
96,2013,95,GUAVIARE,31276,57.33,57.32,70.31,4.02,95.97,0.01,1.16
97,2013,97,VAUPÉS,12659,62.25,62.25,74.45,8.53,81.3,10.17,2.85
98,2013,99,VICHADA,20977,74.61,74.6,84.57,9.17,87.84,2.99,1.25
99,2014,05,ANTIOQUIA,1266533,90.97,90.85,103.9,2.33,95.08,2.59,2.09
100,2014,08,ATLÁNTICO,521917,85.81,85.58,93.65,3.29,96.37,0.34,1.82
101,2014,11,"BOGOTÁ, D.C.",1460379,80.79,80.38,86.66,2.5,97.36,0.14,8.69
102,2014,13,BOLÍVAR,490573,87.5,87.41,98.71,3.53,94.1,2.37,1.96
103,2014,15,BOYACÁ,288366,83.94,83.89,94.74,1.89,93.8,4.31,2.24
104,2014,17,CALDAS,195455,80.96,80.93,92.36,2.65,94.74,2.6,1.73
105,2014,18,CAQUETÁ,124473,79.36,79.33,91.71,4.23,95.67,0.1,1.18
106,2014,19,CAUCA,316362,84.6,84.58,105.48,4.54,95.33,0.12,1.2
107,2014,20,CESAR,261493,96.29,96.14,111.11,4.95,92.87,2.19,1.2
108,2014,23,CÓRDOBA,408623,93.23,93.19,110.59,2.11,97.5,0.39,2.01
109,2014,25,CUNDINAMARCA,573948,89.99,89.79,99.75,2.6,96.72,0.69,1.73
110,2014,27,CHOCÓ,145299,81.15,81.14,100.66,3.53,90.58,5.89,0.44
111,2014,41,HUILA,270459,88.35,88.29,99.41,3.33,96.53,0.14,1.08
112,2014,44,LA GUAJIRA,251458,74.91,74.87,88.84,4.48,95.14,0.38,1.3
113,2014,47,MAGDALENA,331389,90.35,90.1,108.4,2.96,96.05,0.99,0.93
114,2014,50,META,215227,94.77,94.72,106.4,3.02,95.07,1.9,1.41
