,CODDEPTO,DEPARTAMENTO,APROBACIÓN_2011,APROBACIÓN_2012,APROBACIÓN_2013,APROBACIÓN_2014,APROBACIÓN_2015,APROBACIÓN_2016,APROBACIÓN_2017,APROBACIÓN_2018,APROBACIÓN_2019,APROBACIÓN_2020,APROBACIÓN_2021,APROBACIÓN_2022,COBERTURA_BRUTA_2011,COBERTURA_BRUTA_2012,COBERTURA_BRUTA_2013,COBERTURA_BRUTA_2014,COBERTURA_BRUTA_2015,COBERTURA_BRUTA_2016,COBERTURA_BRUTA_2017,COBERTURA_BRUTA_2018,COBERTURA_BRUTA_2019,COBERTURA_BRUTA_2020,COBERTURA_BRUTA_2021,COBERTURA_BRUTA_2022,COBERTURA_NETA_2011,COBERTURA_NETA_2012,COBERTURA_NETA_2013,COBERTURA_NETA_2014,COBERTURA_NETA_2015,COBERTURA_NETA_2016,COBERTURA_NETA_2017,COBERTURA_NETA_2018,COBERTURA_NETA_2019,COBERTURA_NETA_2020,COBERTURA_NETA_2021,COBERTURA_NETA_2022,DESERCIÓN_2011,DESERCIÓN_2012,DESERCIÓN_2013,DESERCIÓN_2014,DESERCIÓN_2015,DESERCIÓN_2016,DESERCIÓN_2017,DESERCIÓN_2018,DESERCIÓN_2019,DESERCIÓN_2020,DESERCIÓN_2021,DESERCIÓN_2022,POBLACIÓN_2011,POBLACIÓN_2012,POBLACIÓN_2013,POBLACIÓN_2014,POBLACIÓN_2015,POBLACIÓN_2016,POBLACIÓN_2017,POBLACIÓN_2018,POBLACIÓN_2019,POBLACIÓN_2020,POBLACIÓN_2021,POBLACIÓN_2022,REPITENCIA_2011,REPITENCIA_2012,REPITENCIA_2013,REPITENCIA_2014,REPITENCIA_2015,REPITENCIA_2016,REPITENCIA_2017,REPITENCIA_2018,REPITENCIA_2019,REPITENCIA_2020,REPITENCIA_2021,REPITENCIA_2022,REPROBACIÓN_2011,REPROBACIÓN_2012,REPROBACIÓN_2013,REPROBACIÓN_2014,REPROBACIÓN_2015,REPROBACIÓN_2016,REPROBACIÓN_2017,REPROBACIÓN_2018,REPROBACIÓN_2019,REPROBACIÓN_2020,REPROBACIÓN_2021,REPROBACIÓN_2022,TASA_MATRICULACIÓN_2011,TASA_MATRICULACIÓN_2012,TASA_MATRICULACIÓN_2013,TASA_MATRICULACIÓN_2014,TASA_MATRICULACIÓN_2015,TASA_MATRICULACIÓN_2016,TASA_MATRICULACIÓN_2017,TASA_MATRICULACIÓN_2018,TASA_MATRICULACIÓN_2019,TASA_MATRICULACIÓN_2020,TASA_MATRICULACIÓN_2021,TASA_MATRICULACIÓN_2022
20,73,TOLIMA,90.33,87.38,88.65,90.31,89.08,89.31,90.06,90.56,89.84,90.22,87.43,88.39,103.45,97.11,100.2,96.32,96.32,95.33,94.39,110.66,110.63,110.54,112.46,111.39,88.71,87.42,86.95,86.3,85.41,84.59,83.91,98.54,99.1,99.27,101.13,100.26,4.61,5.11,4.01,4.16,3.71,3.7,2.93,3.02,3.7,3.29,5.03,4.71,325983.0,321653.0,317546.0,313709.0,310206.0,306395.0,303140.0,255496.0,251347.0,247605.0,244021.0,242793.0,0.88,0.66,0.5,0.92,0.58,0.61,0.73,0.84,0.75,5.13,4.2,6.21,5.06,7.51,7.34,5.53,7.22,6.98,7.01,6.42,6.45,6.48,7.54,6.9,88.8,87.47,87.02,86.36,85.48,84.7,84.0,83.88,99.2,99.37,101.21,100.35
21,76,VALLE DEL CAUCA,90.69,92.39,93.57,95.6,91.04,88.72,89.59,89.22,88.84,90.41,87.16,86.48,101.5,101.86,101.44,98.4,96.74,93.81,91.94,91.87,92.62,92.14,92.14,89.32,88.33,88.09,87.37,85.34,84.26,81.23,80.21,80.36,81.46,81.96,81.67,79.5,4.24,4.32,3.04,2.16,2.78,4.34,3.71,3.26,3.92,2.73,4.53,5.51,906602.0,894698.0,887988.0,880625.0,875476.0,873706.0,873860.0,861316.0,854243.0,846957.0,839566.0,848047.0,2.3,1.64,1.3,0.82,0.92,1.29,1.45,1.1,1.17,5.72,4.76,6.33,5.07,3.29,3.39,2.24,6.18,6.94,6.7,7.52,7.25,6.86,8.31,8.01,88.51,88.26,87.56,85.52,84.44,81.4,80.4,79.27,81.68,82.18,81.86,79.71
22,81,ARAUCA,97.72,94.99,95.83,94.4,96.29,96.28,96.31,97.29,95.31,85.52,93.54,88.53,85.09,83.67,81.63,81.48,82.95,85.37,86.6,112.21,106.49,105.96,107.8,105.14,74.11,72.29,70.7,71.51,72.84,73.95,75.02,94.93,93.06,92.81,93.88,92.67,2.14,4.99,4.17,5.59,3.51,3.72,3.63,2.63,4.02,3.93,3.31,6.98,73431.0,74454.0,74658.0,74948.0,75107.0,75185.0,75197.0,60962.0,64095.0,66580.0,67759.0,66682.0,2.78,3.83,2.42,2.04,2.27,3.44,7.17,4.46,3.82,3.9,6.67,6.81,0.13,0.03,0.01,0.01,0.2,0.0,0.07,0.08,0.67,10.55,3.15,4.49,74.15,72.33,70.71,71.55,72.88,74.0,75.0,77.02,93.09,92.84,93.94,92.7
23,85,CASANARE,92.12,87.67,90.86,92.87,88.89,90.23,92.41,90.77,90.13,90.95,86.47,88.53,115.07,117.02,117.81,117.09,115.06,111.65,112.68,104.3,104.68,104.95,105.84,102.68,101.05,103.88,103.69,103.24,102.39,100.18,97.72,93.05,93.43,94.35,94.63,93.37,3.88,6.52,3.67,2.27,3.75,4.21,2.68,2.69,3.01,2.11,4.61,3.98,85803.0,85999.0,86460.0,86899.0,87417.0,88003.0,88626.0,92859.0,93431.0,93855.0,93896.0,95609.0,3.57,1.92,1.34,1.19,1.21,4.03,2.09,2.0,1.9,5.43,6.26,7.03,4.0,5.81,5.47,4.86,7.36,5.56,4.91,6.54,6.86,6.94,8.92,7.49,101.11,103.94,103.73,103.26,102.43,100.2,97.8,96.81,93.46,94.38,94.67,93.41
24,86,PUTUMAYO,95.61,89.6,88.53,94.59,89.23,86.13,88.12,86.88,85.7,86.8,82.3,86.37,93.62,93.12,89.83,90.13,88.74,87.8,88.54,96.55,96.73,95.21,96.22,91.02,80.46,78.17,76.96,77.71,76.7,76.09,75.24,84.28,84.83,84.41,84.57,81.81,4.18,6.16,5.68,4.33,5.26,7.53,5.74,5.21,5.39,7.42,10.28,6.54,93828.0,93570.0,92887.0,92368.0,91874.0,91441.0,91161.0,80972.0,80890.0,80810.0,80699.0,81190.0,3.37,1.03,0.98,1.04,0.85,2.56,2.65,2.15,1.89,6.81,4.87,5.76,0.21,4.24,5.79,1.08,5.51,6.34,6.14,7.9,8.91,5.78,7.42,7.09,80.46,78.17,76.96,77.72,76.71,76.1,75.2,75.0,84.83,84.42,84.59,81.83
25,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",96.73,98.16,99.08,98.74,95.92,97.73,97.88,93.79,88.64,91.77,91.03,84.51,73.8,76.21,74.43,73.86,72.67,73.81,72.38,99.93,98.59,99.15,96.69,102.8,67.23,68.65,67.89,68.13,67.3,68.15,67.64,93.4,91.87,92.67,90.82,96.89,1.72,1.26,0.91,1.22,0.63,2.26,1.15,1.97,2.08,1.41,0.71,3.22,15852.0,15648.0,15536.0,15395.0,15265.0,15167.0,15106.0,10853.0,11002.0,11169.0,11312.0,10796.0,3.63,3.9,4.73,3.72,2.16,2.47,2.04,2.31,3.86,8.67,4.15,7.98,1.55,0.58,0.01,0.03,3.44,0.01,0.97,4.25,9.28,6.82,8.26,12.27,67.28,68.7,67.93,68.17,67.34,68.2,67.8,67.34,91.92,92.77,90.88,97.05
26,91,AMAZONAS,91.16,93.74,95.78,96.93,89.23,89.11,87.45,91.17,88.23,88.72,86.04,88.45,94.53,94.76,95.41,95.65,95.76,96.12,96.56,95.04,95.56,94.99,95.93,90.58,82.32,81.87,81.83,82.11,81.46,81.35,82.1,81.46,81.4,81.24,81.96,77.24,5.46,4.7,3.29,3.04,4.76,5.06,4.88,4.87,4.17,2.37,5.04,6.11,22223.0,22194.0,22123.0,22167.0,22212.0,22243.0,22269.0,22257.0,22435.0,22563.0,22670.0,23239.0,5.15,6.3,4.32,3.9,1.65,6.61,5.96,4.12,7.07,10.0,14.76,10.42,3.38,1.56,0.93,0.03,6.01,5.83,7.67,3.96,7.6,8.91,8.92,5.44,82.34,81.87,81.84,82.13,81.49,81.4,83.6,81.13,81.4,81.26,82.03,77.25
27,94,GUAINÍA,73.92,78.18,79.71,81.94,75.4,74.85,76.79,77.64,78.65,81.46,72.0,79.21,95.52,85.9,114.03,90.09,93.44,95.79,97.94,77.05,80.77,83.91,92.44,77.76,74.87,70.82,72.56,73.67,75.3,77.64,79.98,62.28,66.26,70.51,77.96,67.6,10.94,8.91,4.93,4.88,7.64,8.21,7.68,7.14,5.7,3.53,8.67,7.08,11920.0,11920.0,11918.0,11916.0,11913.0,11935.0,11965.0,15766.0,15808.0,15771.0,15643.0,16612.0,0.77,1.75,3.59,4.64,2.12,1.9,3.13,5.08,7.31,10.5,10.23,13.02,15.5,12.91,15.36,13.17,16.96,16.94,15.53,15.22,15.65,15.01,19.32,13.71,74.87,70.82,72.57,73.67,75.3,77.6,80.0,81.64,66.26,70.52,78.05,67.6
28,95,GUAVIARE,91.15,94.89,95.97,97.17,87.99,89.19,94.39,87.78,88.03,86.67,82.84,87.41,78.3,71.3,70.31,67.66,65.9,65.4,67.6,105.08,100.82,100.72,100.64,95.71,64.02,59.18,57.32,56.23,54.9,54.83,55.02,84.61,83.09,83.06,84.79,80.13,9.02,4.86,4.02,2.57,4.7,4.7,4.34,3.36,4.47,4.41,7.29,3.67,31133.0,31272.0,31276.0,31344.0,31553.0,31671.0,31876.0,21118.0,21301.0,21482.0,21658.0,22538.0,2.41,1.5,1.16,1.42,1.21,2.85,2.86,3.46,1.64,6.04,7.8,8.39,0.18,0.26,0.01,0.26,7.31,6.11,1.27,8.86,7.5,8.92,9.88,8.92,64.04,59.2,57.33,56.23,54.91,54.8,55.0,55.7,83.11,83.07,84.91,80.14
29,97,VAUPÉS,81.16,79.86,81.3,90.0,78.38,83.11,80.89,85.38,90.08,81.18,90.14,92.54,72.29,73.18,74.45,74.25,76.58,76.78,78.29,59.79,61.04,62.8,66.82,66.01,62.18,62.32,62.25,62.82,64.08,64.17,65.38,50.79,52.33,53.47,54.72,55.51,9.94,7.62,8.53,7.86,8.08,6.6,8.0,3.88,3.04,2.54,4.18,4.72,12690.0,12681.0,12659.0,12699.0,12684.0,12654.0,12668.0,15363.0,15675.0,15910.0,16081.0,15585.0,6.15,5.11,2.85,3.2,3.49,3.02,3.16,2.26,3.71,7.15,3.6,9.26,8.89,12.52,10.17,2.14,13.54,10.29,11.12,10.74,6.88,16.28,5.67,2.74,62.18,62.32,62.25,62.82,64.08,64.2,66.5,61.64,52.33,53.47,54.73,55.51
30,99,VICHADA,91.77,88.24,87.84,88.75,76.94,78.03,76.3,75.25,74.92,84.08,77.56,76.29,82.08,75.11,84.57,84.1,87.09,87.9,92.69,61.92,62.42,66.64,73.0,74.03,72.98,66.75,74.6,74.51,76.81,77.78,77.93,53.74,55.51,60.14,65.43,66.98,7.33,5.07,9.17,5.09,9.23,8.16,8.65,7.14,7.63,3.07,5.02,6.58,20360.0,20686.0,20977.0,21331.0,21644.0,21951.0,22282.0,32951.0,33198.0,33298.0,33183.0,33949.0,3.54,1.31,1.25,1.1,0.88,3.26,11.73,5.62,7.82,14.44,11.13,14.24,0.9,6.69,2.99,6.16,13.82,13.81,15.05,17.6,17.44,12.85,17.42,17.14,73.07,66.75,74.61,74.52,76.82,77.8,77.9,78.13,55.51,60.15,65.44,66.99
31,05,ANTIOQUIA,93.98,92.04,91.59,95.08,89.34,88.4,88.68,89.13,88.38,89.97,87.52,87.1,106.81,105.8,105.69,103.9,103.14,101.72,98.15,108.39,107.57,106.19,104.69,104.84,93.85,92.65,91.93,90.85,89.79,88.08,86.0,94.11,93.83,93.43,92.45,93.32,3.97,4.01,3.57,2.33,3.82,4.47,4.15,3.97,4.02,2.3,4.81,4.73,1288473.0,1278686.0,1272458.0,1266533.0,1262800.0,1265147.0,1270105.0,1147598.0,1149985.0,1151149.0,1149861.0,1134099.0,4.25,1.93,1.57,2.09,2.83,3.02,6.52,3.13,3.19,6.48,5.84,6.49,2.06,3.95,4.84,2.59,6.84,7.13,7.16,6.91,7.59,7.73,7.66,8.17,94.01,92.79,92.06,90.97,89.92,88.2,86.1,84.72,94.0,93.59,92.62,93.5
32,08,ATLÁNTICO,96.7,96.29,95.77,96.37,95.19,94.42,94.18,93.57,92.91,94.04,90.56,91.06,107.88,100.39,95.58,93.65,93.38,98.02,99.32,99.81,100.2,100.38,101.96,103.12,99.05,91.43,86.22,85.58,85.92,89.35,90.72,91.34,91.69,92.38,93.55,94.01,2.76,3.32,3.12,3.29,1.39,2.13,1.28,1.55,1.26,1.41,1.67,2.64,523935.0,523911.0,522832.0,521917.0,520783.0,519509.0,518257.0,521630.0,533666.0,542750.0,546055.0,544473.0,1.82,0.8,1.66,1.82,1.69,1.23,1.11,0.74,1.0,4.27,3.82,5.91,0.54,0.42,1.11,0.34,3.42,3.44,4.54,4.88,5.83,4.55,7.78,6.3,99.32,91.59,86.41,85.81,86.17,89.7,91.1,92.53,92.07,92.75,93.93,94.4
