,CODDEPTO,DEPARTAMENTO,APROBACIÓN_2011,APROBACIÓN_2012,APROBACIÓN_2013,APROBACIÓN_2014,APROBACIÓN_2015,APROBACIÓN_2016,APROBACIÓN_2017,APROBACIÓN_2018,APROBACIÓN_2019,APROBACIÓN_2020,APROBACIÓN_2021,APROBACIÓN_2022,COBERTURA_BRUTA_2011,COBERTURA_BRUTA_2012,COBERTURA_BRUTA_2013,COBERTURA_BRUTA_2014,COBERTURA_BRUTA_2015,COBERTURA_BRUTA_2016,COBERTURA_BRUTA_2017,COBERTURA_BRUTA_2018,COBERTURA_BRUTA_2019,COBERTURA_BRUTA_2020,COBERTURA_BRUTA_2021,COBERTURA_BRUTA_2022,COBERTURA_NETA_2011,COBERTURA_NETA_2012,COBERTURA_NETA_2013,COBERTURA_NETA_2014,COBERTURA_NETA_2015,COBERTURA_NETA_2016,COBERTURA_NETA_2017,COBERTURA_NETA_2018,COBERTURA_NETA_2019,COBERTURA_NETA_2020,COBERTURA_NETA_2021,COBERTURA_NETA_2022,DESERCIÓN_2011,DESERCIÓN_2012,DESERCIÓN_2013,DESERCIÓN_2014,DESERCIÓN_2015,DESERCIÓN_2016,DESERCIÓN_2017,DESERCIÓN_2018,DESERCIÓN_2019,DESERCIÓN_2020,DESERCIÓN_2021,DESERCIÓN_2022,POBLACIÓN_2011,POBLACIÓN_2012,POBLACIÓN_2013,POBLACIÓN_2014,POBLACIÓN_2015,POBLACIÓN_2016,POBLACIÓN_2017,POBLACIÓN_2018,POBLACIÓN_2019,POBLACIÓN_2020,POBLACIÓN_2021,POBLACIÓN_2022,REPITENCIA_2011,REPITENCIA_2012,REPITENCIA_2013,REPITENCIA_2014,REPITENCIA_2015,REPITENCIA_2016,REPITENCIA_2017,REPITENCIA_2018,REPITENCIA_2019,REPITENCIA_2020,REPITENCIA_2021,REPITENCIA_2022,REPROBACIÓN_2011,REPROBACIÓN_2012,REPROBACIÓN_2013,REPROBACIÓN_2014,REPROBACIÓN_2015,REPROBACIÓN_2016,REPROBACIÓN_2017,REPROBACIÓN_2018,REPROBACIÓN_2019,REPROBACIÓN_2020,REPROBACIÓN_2021,REPROBACIÓN_2022,TASA_MATRICULACIÓN_2011,TASA_MATRICULACIÓN_2012,TASA_MATRICULACIÓN_2013,TASA_MATRICULACIÓN_2014,TASA_MATRICULACIÓN_2015,TASA_MATRICULACIÓN_2016,TASA_MATRICULACIÓN_2017,TASA_MATRICULACIÓN_2018,TASA_MATRICULACIÓN_2019,TASA_MATRICULACIÓN_2020,TASA_MATRICULACIÓN_2021,TASA_MATRICULACIÓN_2022
10,41,HUILA,92.39,90.01,92.18,96.53,87.04,85.82,86.57,86.1,85.86,89.63,83.98,86.3,101.13,100.19,101.65,99.41,99.18,96.84,95.17,106.28,105.3,103.51,104.13,101.3,90.47,89.73,89.68,88.29,87.58,85.84,85.17,94.28,94.12,93.38,93.73,91.77,4.38,5.23,4.78,3.33,5.17,5.23,4.14,4.21,4.48,2.49,6.18,5.13,275956.0,273653.0,272091.0,270459.0,269323.0,268744.0,268582.0,242238.0,242194.0,242199.0,242129.0,247652.0,4.36,1.81,1.03,1.08,1.09,4.35,3.32,2.63,2.84,6.85,5.23,6.96,3.24,4.76,3.04,0.14,7.79,8.94,9.3,9.69,9.67,7.88,9.84,8.56,90.52,89.77,89.73,88.35,87.64,85.9,85.3,85.04,94.2,93.46,93.8,91.87
11,44,LA GUAJIRA,92.78,92.33,94.12,95.14,95.83,93.5,93.92,93.01,93.27,89.11,89.12,86.54,89.4,89.93,87.85,88.84,86.61,88.3,86.51,103.72,103.71,104.74,111.61,110.67,77.0,75.33,74.73,74.87,74.08,75.59,75.44,90.55,92.86,94.2,99.35,99.25,6.17,6.81,5.27,4.48,2.29,4.62,2.98,2.77,2.51,2.08,2.06,3.65,231046.0,239298.0,244513.0,251458.0,258207.0,264785.0,271221.0,237991.0,245778.0,252101.0,255513.0,262402.0,3.85,3.44,2.35,1.3,1.42,4.5,4.85,4.75,3.59,5.87,6.09,9.77,1.07,0.86,0.61,0.38,1.88,1.89,3.1,4.22,4.21,8.81,8.82,9.81,77.12,75.42,74.8,74.91,74.12,75.7,75.5,77.72,92.92,94.28,99.46,99.33
12,47,MAGDALENA,94.98,91.97,95.32,96.05,93.68,94.31,94.62,93.58,93.68,90.81,94.46,91.07,110.51,108.68,117.11,108.4,108.08,108.24,109.39,115.66,114.32,110.91,112.69,118.49,94.32,91.64,95.83,90.1,93.43,92.33,93.3,97.69,97.27,95.83,96.9,95.92,3.63,6.22,3.19,2.96,3.54,3.2,2.57,3.26,3.5,3.87,2.07,4.9,333793.0,334586.0,332266.0,331389.0,330539.0,329234.0,327940.0,317652.0,323546.0,327562.0,328343.0,327302.0,1.52,1.59,1.32,0.93,1.07,5.31,2.52,1.7,1.53,3.8,3.09,5.02,1.39,1.81,1.49,0.99,2.78,2.49,2.8,3.15,2.83,5.32,3.47,4.03,94.47,91.82,96.03,90.35,93.61,92.5,93.6,95.21,97.49,96.03,97.15,96.16
13,50,META,93.08,91.68,93.87,95.07,92.08,89.08,90.81,89.65,90.99,87.06,86.0,87.45,102.82,103.0,106.43,106.4,103.88,104.73,102.17,104.13,107.15,105.44,105.94,105.25,93.59,93.29,94.76,94.72,92.14,92.28,90.88,92.51,93.51,93.83,94.28,93.17,5.55,5.85,4.49,3.02,3.3,5.35,4.2,4.47,3.97,2.47,4.4,5.18,209319.0,210820.0,213170.0,215227.0,217437.0,219565.0,221844.0,218707.0,218194.0,217673.0,216914.0,221130.0,1.48,1.8,1.15,1.41,1.1,0.86,1.04,0.89,1.03,4.32,6.19,7.47,1.37,2.47,1.63,1.9,4.62,5.57,4.99,5.88,5.04,10.47,9.6,7.37,93.65,93.35,94.83,94.77,92.19,92.4,90.9,90.3,93.59,93.91,94.37,93.24
14,52,NARIÑO,89.97,97.02,95.83,96.98,96.42,96.44,95.82,95.42,95.85,89.34,91.83,92.01,93.96,92.96,93.62,89.87,88.26,83.28,83.3,98.98,98.35,97.39,96.69,92.87,80.5,77.73,76.58,75.22,73.51,71.13,70.16,84.54,83.95,84.1,83.43,80.58,10.17,1.84,2.9,2.91,1.23,1.67,1.4,1.34,1.45,1.75,2.23,2.85,401313.0,401539.0,399032.0,397640.0,396138.0,394574.0,393195.0,314579.0,309763.0,305761.0,302506.0,307217.0,2.53,1.89,1.85,1.6,1.35,2.64,3.17,2.94,3.23,4.68,6.66,8.07,1.4,1.14,1.26,0.11,2.35,1.89,2.78,3.24,2.7,8.91,5.94,5.14,80.53,77.75,76.6,75.23,73.53,71.1,70.2,67.88,84.0,84.15,83.5,80.63
15,54,NORTE DE SANTANDER,92.55,93.58,95.29,96.07,95.75,91.24,91.86,90.55,90.56,88.82,87.57,87.56,102.48,96.69,100.76,98.77,99.27,101.66,105.26,106.28,106.49,98.32,101.77,101.86,88.96,85.93,86.37,87.15,85.84,88.51,90.3,91.62,92.18,90.16,92.0,91.81,6.87,4.89,3.66,3.3,2.66,4.84,3.6,3.95,3.25,3.94,4.1,4.49,324219.0,322304.0,317334.0,313966.0,310611.0,307238.0,304148.0,307526.0,318252.0,325981.0,328034.0,328869.0,2.19,2.0,1.72,1.64,1.31,1.85,1.24,1.41,1.37,5.51,3.9,6.03,0.65,1.52,1.05,0.62,1.59,3.91,4.54,5.5,6.19,7.24,8.33,7.95,89.04,86.0,86.42,87.2,85.89,88.6,90.4,93.58,92.25,90.24,92.06,91.88
16,63,QUINDIO,92.43,89.79,89.7,93.02,88.09,87.41,88.68,89.17,88.13,90.1,87.1,86.73,103.95,102.48,100.48,97.59,94.03,91.75,88.57,110.83,109.23,107.41,105.15,105.21,90.83,88.74,85.87,83.9,81.86,79.74,77.69,98.35,96.73,95.93,94.64,95.24,5.04,6.23,5.3,3.68,5.9,6.18,4.92,4.17,3.94,3.07,6.2,5.97,114075.0,112175.0,111539.0,110359.0,109400.0,108652.0,108156.0,83383.0,83130.0,83129.0,83299.0,81903.0,1.36,1.23,1.21,1.41,1.38,1.13,0.8,1.08,1.04,6.06,4.44,4.86,2.53,3.99,4.99,3.29,6.01,6.41,6.4,6.67,7.93,6.83,6.7,7.3,90.87,88.77,85.89,83.93,81.93,79.8,77.8,76.15,96.77,95.97,94.72,95.29
17,66,RISARALDA,94.07,87.91,89.77,93.08,89.03,89.54,89.34,88.74,88.6,88.68,87.78,86.95,112.41,109.1,106.4,103.53,102.5,102.31,100.7,114.09,114.85,113.87,114.87,111.61,95.43,92.77,89.81,88.02,87.94,87.16,86.62,98.4,98.88,98.64,99.07,97.52,4.79,7.04,5.17,3.67,5.05,4.67,4.82,4.23,4.99,2.89,4.65,6.42,192633.0,189484.0,187946.0,185754.0,183900.0,182345.0,181154.0,157477.0,156174.0,155149.0,154342.0,155669.0,1.77,1.13,0.94,1.66,1.52,1.09,2.4,0.76,1.16,5.41,4.33,5.7,1.14,5.06,5.06,3.25,5.92,5.79,5.84,7.04,6.41,8.43,7.57,6.63,95.61,92.91,89.97,88.18,88.12,87.4,86.8,86.17,99.14,98.9,99.33,97.79
18,68,SANTANDER,94.25,92.65,92.98,95.45,91.93,89.89,91.27,89.46,89.53,91.04,87.49,87.49,103.43,103.99,106.44,105.95,105.97,106.47,107.72,108.08,106.83,105.54,106.58,107.07,92.4,92.11,93.28,93.52,94.37,95.0,96.33,96.06,96.2,95.83,95.89,96.49,3.68,4.67,3.6,2.82,3.17,3.97,2.67,3.2,3.01,1.85,4.0,4.93,434034.0,425904.0,419596.0,413227.0,407815.0,402820.0,398621.0,401463.0,405798.0,408876.0,409198.0,405521.0,2.92,2.53,2.04,1.76,1.62,2.48,2.41,1.73,1.91,6.26,4.47,6.43,2.07,2.68,3.41,1.73,4.9,6.14,6.07,7.34,7.47,7.1,8.51,7.58,92.49,92.21,93.4,93.63,94.5,95.2,96.5,97.79,96.38,95.97,96.05,96.67
19,70,SUCRE,86.31,85.68,86.68,85.08,87.04,87.41,87.86,87.36,87.91,92.43,89.82,87.51,123.04,112.62,117.32,113.29,112.16,111.51,111.79,110.42,108.96,107.93,108.54,107.24,103.2,95.55,96.64,96.82,95.74,96.72,97.2,95.99,95.88,95.17,95.46,94.41,6.74,4.83,3.83,5.83,2.65,2.95,2.7,2.78,3.0,2.0,2.51,3.9,205779.0,203626.0,202453.0,201098.0,200001.0,198817.0,197947.0,201443.0,203411.0,204837.0,205082.0,203779.0,0.46,0.65,0.7,1.2,0.61,0.47,1.06,1.28,1.17,7.51,3.97,6.12,7.1,9.49,9.49,9.08,10.31,9.64,9.43,9.86,9.09,5.57,7.67,8.6,103.27,95.6,96.68,96.88,95.8,96.8,97.3,98.08,95.93,95.22,95.5,94.48
