,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
22,13,BOLÍVAR,13473,MORALES,0.0,0.0,0.0,0.0,25.0,240.0,1040.0,0.0,0.0,325.0,1313.0,67.5,1500.0,380.0,0.0,245.5,0.0,0.0,2760.0,430.0,0.0,0.0,200.0,66.0,0.0,0.0
23,13,BOLÍVAR,13600,RIOVIEJO,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,3661.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,0.0,0.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0,100.0,1100.0,0.0,0.0,0.0,0.0,544.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0
25,13,BOLÍVAR,13670,SAN PABLO,80250.0,0.0,0.0,0.0,4169.0,8019.0,3373.0,983.0,1910.0,4375.0,8681.0,3350.0,7575.755,7693.5,612.0,5535.2,2327.03,2205.25,1415.051,663.33,4852.0,350.0,2427.212,1170.0,896.0,0.0
26,13,BOLÍVAR,13683,SANTA ROSA,0.0,1000.0,175.0,625.0,0.0,21501.0,187.0,488.0,0.0,953.0,2757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
27,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,0.0,0.0,0.0,0.0,0.0,504.27,0.0,0.0,5125.0,0.0,2460.0,125.5,500.0,1175.0,1488.563,4148.0,1115.28,180.0,570.0,1630.0,150.0,82.0,3953.478,1916.0,4726.6,0.0
28,13,BOLÍVAR,13744,SIMITÍ,0.0,0.0,63.0,0.0,0.0,4.0,0.0,0.0,3800.0,0.0,85.0,1035.0,880.0,0.0,0.0,305.0,0.05,0.0,0.0,2500.0,40.0,170.0,1278.287,2215.0,2020.0,0.0
29,13,BOLÍVAR,13810,TIQUISIO ,0.0,0.0,0.0,1000.0,100.0,1250.0,0.0,3375.12,0.0,0.0,750.0,620.0,0.0,2920.0,870.0,2.0,0.0,0.0,0.0,250.0,553.0,1009.0,835.5,900.0,0.0,0.0
30,15,BOYACÁ,15176,CHIQUINQUIRÁ,0.0,0.0,0.0,0.0,675.0,0.0,20.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15,BOYACÁ,15218,COVARACHÍA,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15,BOYACÁ,15299,GARAGOA,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,15,BOYACÁ,15425,MACANAL,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,15,BOYACÁ,15442,MARIPÍ,0.0,0.0,0.0,0.0,1315.0,500.6,361.1,10.0,0.0,0.0,389.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,0.0,0.0,0.0
35,15,BOYACÁ,15455,MIRAFLORES,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,15,BOYACÁ,15480,MUZO,0.0,0.0,0.0,62.5,0.0,515.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,15,BOYACÁ,15507,OTANCHE,0.0,0.0,50.0,0.0,3450.0,3270.0,825.8,631.5,924.0,2867.0,1056.0,280.0,0.0,2038.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,15,BOYACÁ,15531,PAUNA,0.0,30.0,612.0,0.0,18610.0,0.05,932.72,527.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,15,BOYACÁ,15572,PUERTO BOYACÁ,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,260.0,200.0,0.0,251.0,320.0,13769.0,3659.96,1260.0,0.0,1.5,0.0,0.0,0.0,155.0,705.0,1845.48,0.0
40,15,BOYACÁ,15580,QUÍPAMA,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,15,BOYACÁ,15681,SAN PABLO DE BORBUR,0.0,0.0,0.0,0.0,0.0,1001.5,0.0,0.0,237.0,0.0,0.0,25.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,15,BOYACÁ,15832,TUNUNGUÁ,0.0,0.0,0.0,0.0,0.0,800.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,17,CALDAS,17001,MANIZALES,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,17,CALDAS,17541,PENSILVANIA,0.0,0.0,0.0,0.0,2387.0,200.01,0.0,388.0,1412.0,920.0,0.0,0.0,0.0,0.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,17,CALDAS,17653,SALAMINA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,17,CALDAS,17662,SAMANÁ,0.0,0.0,0.0,0.0,2312.0,1712.0,86.222,3188.0,21732.0,1000.0,625.0,542.0,677.5,500.0,225.0,1000.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,18,CAQUETÁ,18001,FLORENCIA,0.0,0.0,300.001,150.0,25.0,750.0,640.0,0.0,0.0,200.0,2400.0,220.0,3157.0,0.0,10.5,0.0,0.0,0.0,250.0,0.0,888.0,855.0,462.15,1062.0,31.0,0.0
48,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,0.0,0.0,5237.5,0.0,0.0,0.0,50.0,0.0,120.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,200.0,1025.0,162.0,0.0,290.0,0.0,120.0,0.0,0.0
49,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,0.0,0.0,0.0,4537.0,0.0,360.0,3766.0,869.0,0.0,775.0,2019.0,1305.0,1935.0,3689.5,2295.0,2110.0,1546.0,2499.0,2660.0,130.0,837.0,2565.505,2678.12,9844.08,1225.05,0.0
50,18,CAQUETÁ,18205,CURILLO,0.0,1250.0,1474.0,275.0,0.0,0.0,0.0,0.0,0.0,5.0,582.0,180.0,1703.6,300.0,226.0,2660.0,150.0,0.0,0.0,420.037,500.0,513.0,2169.13,590.0,0.0,0.0
51,18,CAQUETÁ,18256,EL PAUJIL,0.0,0.0,0.0,60.0,0.0,0.0,0.0,187.0,1950.0,0.0,175.0,0.0,0.0,1200.0,1217.0,63.0,3411.0,6366.96,980.0,515.0,1579.0,225.002,816.0,1875.215,387.5,137.0
52,18,CAQUETÁ,18410,MONTAÑITA,0.0,0.0,400.0,2000.0,0.0,1075.0,437.0,1613.0,0.0,3663.0,5487.0,4138.475,3417.0,9277.2,4675.0,0.0,12801.6,6382.18,4726.0,725.0,325.0,2834.0,3194.707,1991.025,1640.0,45.0
53,18,CAQUETÁ,18460,MILÁN,3000.0,0.0,2325.0,50.0,0.0,1075.0,0.0,150.0,0.0,0.0,0.0,0.0,332.0,3485.0,5.0,500.0,0.0,348.0,0.0,28.031,1167.5,280.05,349.05,323.0,0.0,0.0
54,18,CAQUETÁ,18479,MORELIA,0.0,188.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0
55,18,CAQUETÁ,18592,PUERTO RICO,0.0,0.0,0.0,0.0,225.0,1500.0,0.0,12.5,0.0,799.0,2261.5,5106.0,1398.5,0.0,6439.019,100.0,9707.5,10061.75,5320.901,3955.2,1305.0,623.148,200.01,1085.0,0.0,0.0
56,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,413.0,0.0,0.0,0.0,0.0,0.0,0.0,4145.0,0.0,0.0,0.0,4.0,7893.812,1590.8,800.0,4384.0,0.0,3847.5,6897.0,1763.55,390.0,1869.5,755.0,1808.0,0.0,0.0
57,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,2500.0,0.0,0.0,0.0,1250.0,0.0,2638.0,1025.0,0.0,450.0,840.0,655.072,0.0,1312.5,187.5,875.0,797.0,3910.715,2313.0,2230.0,0.0,1400.0,660.0,763.5,910.71,0.0
58,18,CAQUETÁ,18756,SOLANO,0.0,50.0,12750.0,0.0,362.0,1250.0,0.0,0.0,0.0,937.5,11480.0,8257.0,625.0,6340.0,2062.5,0.0,0.0,1620.5,37.0,547.0,1919.15,735.0,1170.04,1985.0,1658.0,0.0
59,18,CAQUETÁ,18785,SOLITA,312.0,75.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,670.0,0.0
60,18,CAQUETÁ,18860,VALPARAÍSO,0.0,975.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,19,CAUCA,19001,POPAYÁN,0.0,0.0,0.0,0.0,62.5,1.0,0.0,64.62,40828.945,0.0,0.0,200.0,7500.0,0.0,0.0,0.0,1775.0,500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,19,CAUCA,19022,ALMAGUER,0.0,0.0,0.0,0.0,0.0,250.0,1962.0,1821.0,4461.0,0.0,250.0,0.0,26396.0,5575.0,0.0,0.0,375.0,13512.0,210.0,800.0,600.0,0.0,0.0,3010.0,0.0,0.0
63,19,CAUCA,19050,ARGELIA,0.0,0.0,0.0,0.0,4000.0,128.0,3905.0,4150.0,37709.5,7045.0,9847.5,83827.14,29886.0,1100.0,5846.0,12990.0,5195.0,0.0,1437.0,50.0,0.0,380.0,0.0,0.0,220.0,0.0
64,19,CAUCA,19075,BALBOA,625.0,0.0,0.0,0.0,225.0,1717.0,14486.35,7530.0,2310.0,0.0,676.0,101647.5,3192.0,1160.0,1785.0,480.0,14807.0,27001.0,325.0,710.0,605.0,710.0,0.0,0.0,0.0,0.0
65,19,CAUCA,19100,BOLÍVAR,4125.0,0.0,0.0,0.0,8425.0,3837.0,827.0,3150.55,9386.0,10469.0,5103.0,33181.2195,14920.1,1028.0,2375.0,100.0,4517.0,24607.0,1800.0,220.0,8000.0,7821.0,7507.0,4072.0,5294.95,0.0
66,19,CAUCA,19137,CALDONO,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1075.0,0.0,0.0,500.0,0.0,1095.0,37.5,0.0,80.0,0.0,0.0,0.0,925.0,0.0,0.0,195.0,1500.0,0.0
67,19,CAUCA,19142,CALOTO,0.0,280.0,0.0,287.0,1750.0,1450.0,4317.0,15.0,4465.0,478.0,0.0,450.0,0.0,130.0,766.314,820.0,0.0,167.5,0.0,500.0,0.0,0.0,700.0,1500.0,1255.0,0.0
68,19,CAUCA,19212,CORINTO,0.0,0.0,2625.0,775.0,362.0,365.0,470.0,4175.0,6750.0,6337.0,2737.0,6900.0,8211.0,45817.812,7517.0,1706.7,1156.0,933.0,20878.0,0.0,3350.5,1200.0,4041.3,7836.95,9795.4,0.0
69,19,CAUCA,19256,EL TAMBO,0.0,0.0,0.0,388.0,0.0,12.0,695.0,100.0,2300.0,300.0,4005.0,22029.39,3375.0,4306.0,0.0,9800.0,8664.5,40520.0,9563.5,4195.0,525.0,1320.0,4059.0,1315.0,4647.55,0.0
