,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Categoría
60,81,ARAUCA,81300,FORTUL,265.82,165.0,71.31,252.0,249.0,158.0,519.0,39.0,72.0,46.0,24.0,5.0,3.0,3.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
61,81,ARAUCA,81591,PUERTO RONDÓN,43.95,34.0,0.0,10.0,36.0,50.0,18.0,15.0,8.0,3.0,2.0,0.0,1.0,2.0,1.93,0.0,4.59,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
62,81,ARAUCA,81736,SARAVENA,138.25,55.0,76.51,98.0,184.0,126.0,192.0,92.0,34.0,15.0,15.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
63,81,ARAUCA,81794,TAME,396.23,314.0,96.38,253.0,249.0,197.0,297.0,96.0,103.0,60.0,50.0,14.0,17.0,4.0,4.85,2.57,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
64,13,BOLÍVAR,13006,ACHÍ,1.0,0.0,0.0,0.0,3.0,0.0,20.0,0.0,14.0,60.0,5.0,12.0,1.0,6.0,3.77,9.12,12.48,12.53,8.22,5.72,4.94,9.27,Cultivo permanente
65,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,0.0,0.0,37.27,42.97,58.0,18.0,57.0,43.0,67.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,Cultivo intermintente
66,13,BOLÍVAR,13042,ARENAL,53.35,71.0,194.0,109.0,150.0,67.0,221.0,117.0,182.0,114.0,57.0,38.0,16.0,56.0,10.57,18.69,21.35,2.51,19.13,35.55,104.58,123.48,Cultivo permanente
67,13,BOLÍVAR,13074,BARRANCO DE LOBA,0.0,0.0,51.33,53.0,82.0,29.0,63.0,31.0,68.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.02,Cultivo intermintente
68,13,BOLÍVAR,13160,CANTAGALLO,1063.4,446.0,511.0,229.0,333.0,127.0,485.0,909.0,727.0,312.0,255.0,198.0,57.0,125.0,44.86,398.45,600.51,728.93,645.48,811.66,1258.48,1145.27,Cultivo permanente
69,13,BOLÍVAR,13268,EL PEÑÓN,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
70,13,BOLÍVAR,13458,MONTECRISTO,103.11,45.0,231.0,287.0,255.0,237.0,1239.0,734.0,679.0,709.0,535.0,234.0,163.0,279.0,214.14,522.1,510.89,716.53,635.21,576.61,688.02,616.18,Cultivo permanente
71,13,BOLÍVAR,13473,MORALES,184.44,64.0,145.0,78.0,115.0,152.0,285.0,156.0,163.0,300.0,55.0,98.0,19.0,100.0,36.4,167.65,208.58,234.16,154.79,148.75,318.26,197.36,Cultivo permanente
72,13,BOLÍVAR,13490,NOROSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,21.0,11.68,15.79,8.78,13.5,4.76,13.32,82.68,165.88,Cultivo permanente
73,13,BOLÍVAR,13600,RIOVIEJO,194.49,166.0,288.0,242.0,323.0,178.0,357.0,230.0,276.0,163.0,66.0,15.0,9.0,23.0,11.54,8.22,15.08,2.12,18.4,66.0,100.22,143.58,Cultivo permanente
74,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,0.0,5.0,23.0,40.0,47.0,82.0,130.0,193.0,101.0,33.0,132.0,25.0,18.0,18.0,64.42,136.08,161.54,233.76,200.27,172.27,168.98,167.53,Cultivo permanente
75,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,0.0,0.0,67.46,180.0,176.0,67.0,144.0,77.0,114.0,82.0,17.0,0.0,0.0,1.0,0.0,0.0,4.25,4.14,2.88,2.84,2.45,17.52,Cultivo intermintente
76,13,BOLÍVAR,13670,SAN PABLO,1189.72,614.0,1105.0,756.0,638.0,334.0,579.0,1529.0,742.0,376.0,384.0,544.0,225.0,258.0,229.54,1255.5,2300.37,3315.51,2832.35,3218.26,3972.77,3470.98,Cultivo permanente
77,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,1907.35,996.0,1336.0,925.0,1152.0,810.0,958.0,1319.0,1083.0,745.0,264.0,526.0,336.0,488.0,307.29,968.38,1437.1,2009.22,1912.62,2468.01,2515.23,2086.98,Cultivo permanente
78,13,BOLÍVAR,13744,SIMITÍ,1382.2,321.0,410.0,388.0,188.0,174.0,581.0,374.0,319.0,132.0,131.0,166.0,54.0,92.0,69.65,508.1,781.04,1206.26,1443.32,1652.33,2011.06,1760.31,Cultivo permanente
79,13,BOLÍVAR,13810,TIQUISIO ,61.54,7.0,72.0,69.0,150.0,107.0,513.0,135.0,242.0,270.0,274.0,106.0,13.0,98.0,39.16,86.2,117.04,134.51,87.66,201.93,286.71,413.38,Cultivo permanente
80,15,BOYACÁ,15212,COPER,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
81,15,BOYACÁ,15223,CUBARÁ,47.3,6.0,8.04,0.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
82,15,BOYACÁ,15401,LA VICTORIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
83,15,BOYACÁ,15442,MARIPÍ,0.0,14.0,25.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
84,15,BOYACÁ,15480,MUZO,0.0,1.0,39.0,11.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
85,15,BOYACÁ,15507,OTANCHE,6.68,23.0,140.67,84.0,101.0,142.0,52.0,120.0,106.0,30.0,47.0,8.0,6.0,4.0,4.55,0.0,0.0,2.8,0.0,0.0,0.0,0.0,Cultivo intermintente
86,15,BOYACÁ,15531,PAUNA,1.0,10.0,22.0,10.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
87,15,BOYACÁ,15572,PUERTO BOYACÁ,28.51,43.0,309.0,215.0,206.0,197.0,22.0,65.0,56.0,68.0,38.0,2.0,8.0,5.0,3.16,14.99,21.99,13.68,4.24,6.35,17.95,47.29,Cultivo permanente
88,15,BOYACÁ,15580,QUÍPAMA,0.0,3.0,27.0,15.0,10.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
89,15,BOYACÁ,15681,SAN PABLO DE BORBUR,0.0,15.0,18.99,13.0,9.0,20.0,5.0,4.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
90,15,BOYACÁ,15696,SANTA SOFÍA,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
91,15,BOYACÁ,15832,TUNUNGUÁ,0.0,0.0,0.0,1.08,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
92,17,CALDAS,17433,MANZANARES,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
93,17,CALDAS,17495,NORCASIA,0.0,0.0,43.0,313.0,46.0,51.0,28.0,39.0,38.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
94,17,CALDAS,17541,PENSILVANIA,0.0,0.0,0.0,1.11,7.46,14.0,7.0,12.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
95,17,CALDAS,17662,SAMANÁ,0.0,0.0,9.9,41.0,132.0,380.0,21.0,136.0,127.0,30.0,30.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
96,17,CALDAS,17867,VICTORIA,0.0,0.0,0.0,2.97,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
97,18,CAQUETÁ,18029,ALBANIA,180.0,125.0,122.0,698.0,149.0,106.0,61.0,10.0,12.0,7.0,7.0,2.0,7.0,18.0,32.5,53.64,63.28,61.92,30.07,37.21,58.23,94.09,Cultivo permanente
98,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,40.0,64.0,135.0,112.0,157.0,132.0,30.0,185.0,63.0,79.0,193.0,89.0,85.0,92.0,132.03,147.2,201.43,303.88,110.22,0.0,13.27,120.5,Cultivo intermintente
99,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,5930.52,3989.0,1990.0,1203.0,1836.0,1674.0,1916.0,1374.0,781.0,603.0,409.0,456.0,703.0,1050.0,948.62,1187.95,1369.17,1006.74,416.26,251.71,304.36,433.88,Cultivo permanente
100,18,CAQUETÁ,18205,CURILLO,754.1,581.0,202.0,252.0,253.0,265.0,283.0,44.0,114.0,125.0,69.0,188.0,208.0,259.0,459.51,368.15,471.31,342.83,227.55,110.42,257.19,344.65,Cultivo permanente
101,18,CAQUETÁ,18247,EL DONCELLO,41.0,3.0,22.05,13.0,52.0,52.0,84.0,102.0,143.0,55.0,70.0,101.0,68.0,233.0,303.46,552.76,454.95,413.36,23.37,12.43,50.03,31.03,Cultivo permanente
102,18,CAQUETÁ,18256,EL PAUJIL,149.0,3.0,12.35,30.0,29.0,32.0,88.0,39.0,66.0,31.0,112.0,99.0,114.0,240.0,267.63,415.85,951.65,704.08,147.38,54.38,157.0,208.28,Cultivo permanente
103,18,CAQUETÁ,18001,FLORENCIA,0.0,24.0,69.0,90.0,6.0,4.0,19.0,14.0,10.0,9.0,105.0,31.0,25.0,31.0,52.84,98.39,218.4,267.99,58.18,12.34,41.84,25.87,Cultivo permanente
104,18,CAQUETÁ,18460,MILÁN,525.88,172.0,321.0,348.0,255.0,414.0,532.0,174.0,217.0,181.0,290.0,251.0,359.0,530.0,695.74,1040.24,1135.54,1226.44,461.07,252.34,283.48,497.06,Cultivo permanente
105,18,CAQUETÁ,18410,MONTAÑITA,568.63,201.0,535.0,188.0,316.0,292.0,637.0,315.0,267.0,239.0,409.0,649.0,816.0,1335.0,1503.49,1743.71,2491.73,2989.69,822.86,461.97,694.79,956.38,Cultivo permanente
106,18,CAQUETÁ,18479,MORELIA,2.0,4.0,0.58,554.0,2.0,18.0,5.0,5.0,6.0,1.0,1.0,5.0,10.0,0.0,1.04,0.0,16.06,21.04,1.13,0.0,0.0,0.0,Cultivo intermintente
107,18,CAQUETÁ,18592,PUERTO RICO,118.0,246.0,384.0,279.0,91.0,143.0,191.0,458.0,429.0,148.0,316.0,219.0,207.0,354.0,415.94,545.83,1635.95,1454.45,224.31,12.93,44.84,65.61,Cultivo permanente
108,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,653.83,655.0,425.0,209.0,311.0,245.0,353.0,92.0,119.0,145.0,304.0,552.0,488.0,611.0,1083.85,1030.8,1414.45,1592.82,1409.84,430.64,781.94,1202.03,Cultivo permanente
109,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,1193.14,606.0,407.0,603.0,231.0,332.0,380.0,373.0,545.0,215.0,78.0,77.0,164.0,412.0,406.84,403.29,380.85,264.01,71.3,104.61,84.61,92.44,Cultivo permanente
